Station	DayTime	N	L	TN	TX	FF	MVP	TT06	TT09	TT12	TT15	TT18	RH06	RH09	RH12	RH15	RH18	VPD	SNOW	VIS	SLOPE	MRAD	MSUN	RRR	SOIL	ANGRAD	APRAD	SVKRAD	HGVRAD	CRAD	E0	ES0	ET0	NDT	TND
1084	20210211	NA	NA	-15.5	-11.6	0.4	1.76	-12.8	-13	-12.4	-18	-20.3	92.19	89.96	90.74	89.55	85.49	0.19	NA	NA	0.16	NA	NA	0.2	NA	2216.72	NA	NA	1870.63	1.87	NA	NA	0.2	NA	-22.4
1288	20210211	NA	NA	NA	-17	0.79	0.38	-36.6	-32.7	-23.8	-20.2	-29.3	69.14	69.66	69.05	67.95	74.62	0.16	33	NA	0.05	NA	NA	0	NA	5983.18	NA	NA	3888.64	3.89	NA	NA	0.15	NA	-36.9
1317	20210211	NA	0.4	-6.9	0.2	2.34	2.04	-3.6	-6.2	-0.6	-3.9	-7.4	39.42	56.79	34.92	37.44	50.36	2.07	10	63	0.312	NA	NA	0	NA	7280.72	NA	NA	2992.41	2.99	NA	NA	1.05	0.4	-10.2
2103	20210211	NA	NA	-15.5	-7	6.41	2.83	-11.4	-10.8	-9.5	-8.1	-7.4	90.09	90.14	90.95	93.22	94.01	0.27	NA	NA	0.244	NA	NA	NA	NA	4152.52	NA	NA	3196.86	3.2	NA	NA	0.04	NA	-13.6
2176	20210211	0.89	1.6	-16.9	-3.8	3.17	2.1	-12.5	-9.3	-4.2	-6.8	-9.2	76.99	70.97	57.35	68.15	75.12	0.82	NA	50	0.23	NA	NA	0	NA	4570.7	NA	2827.88	3412.12	2.83	NA	NA	0.53	1.6	-14
2516	20210211	2.44	2.2	-8.1	-4.4	6.54	2.77	-8.1	-6.9	-5.6	-5.3	-6.2	82.21	83	71.16	70.11	67.2	0.99	NA	49.2	0.289	NA	NA	0	NA	8938.82	NA	3982.43	4611.42	3.98	NA	NA	0.72	2.2	-8.1
2732	20210211	NA	NA	-22.8	-17.3	1.18	1.14	-21.8	-20.8	-18.4	-19.5	-19.2	82.39	82.5	83.56	84.08	84.19	0.21	NA	NA	0.116	NA	NA	NA	NA	5853.11	NA	NA	2720.89	2.72	NA	NA	0.12	NA	-21.9
2745	20210211	NA	NA	-28.7	-18.2	0.22	0.69	-28.7	-21.8	-20	-26.1	-29.5	76.92	80.87	81.91	78.01	75.87	0.17	58	NA	0.077	NA	NA	0.2	NA	3397.54	NA	NA	1997.86	2	NA	NA	0.1	NA	-30
60677	20210211	NA	NA	2	24.8	2.57	1.82	2	13.7	23.4	24.7	20.6	17.24	10.46	7.42	6.02	9.39	16.56	NA	NA	1.158	NA	NA	0	NA	27590.79	NA	NA	22985.86	22.99	NA	NA	3.79	NA	2
3016003	20210211	NA	NA	-18.3	-18.1	2.98	1.13	-18.2	-19.9	-19.9	-21.6	-23.3	85.01	83.35	83.35	81.67	79.96	0.2	NA	NA	0.114	NA	NA	NA	NA	15429.14	NA	NA	3132.25	3.13	NA	NA	0.24	NA	-23.8
