Station	DayTime	N	L	TN	TX	FF	MVP	TT06	TT09	TT12	TT15	TT18	RH06	RH09	RH12	RH15	RH18	VPD	SNOW	VIS	SLOPE	MRAD	MSUN	RRR	SOIL	ANGRAD	APRAD	SVKRAD	HGVRAD	CRAD	E0	ES0	ET0	NDT	TND
1084	20210212	NA	NA	-22.9	-13.9	0.36	1.17	-20.2	-18.6	-16.3	-23.4	-25	82.58	84.92	83.14	81.42	81.16	0.2	NA	NA	0.117	NA	NA	0	NA	2390.19	NA	NA	2354.93	2.35	NA	NA	0.15	NA	-25.8
1288	20210212	NA	NA	-32.5	-13.8	1.08	0.59	-28	-28.1	-17.5	-17.1	-28.2	79.93	74.16	61.22	72.97	73.38	0.23	33	NA	0.073	NA	NA	0	NA	6197.45	NA	NA	3902.19	3.9	NA	NA	0.22	NA	-32.9
1317	20210212	NA	0	-11.6	-0.5	0.88	2.12	-10.9	-8.5	-1.7	-4.5	-7.3	71.21	71.7	45.11	50.39	63.3	1.28	10	65	0.264	NA	NA	0	NA	7501.36	NA	NA	3920.68	3.92	NA	NA	0.54	0	-11.1
2103	20210212	NA	NA	-7.4	-4.3	11.66	3.91	-5.4	-4.7	-4.6	-5.4	-5.5	94.81	97.03	97.03	96.26	94.8	0.26	NA	NA	0.317	NA	NA	NA	NA	4352.73	NA	NA	2410.49	2.41	NA	NA	0.14	NA	-6
2176	20210212	3.56	5.4	-14.9	0.2	4.01	3.28	-6.4	-3.5	-2.1	-2.4	0.2	73.87	67.3	65.04	71.28	71.78	1.25	NA	49.8	0.339	NA	NA	0	NA	4774.79	NA	2710.2	3860.59	2.71	NA	NA	0.48	5.4	-11.4
2516	20210212	1.22	2.2	-8.5	-2.5	3.84	2.74	-8.1	-4.9	-4.6	-3.7	-2.6	82.85	71.87	62.95	57.94	57.33	1.4	NA	48.2	0.315	NA	NA	0	NA	9164.63	NA	4780.52	6030.14	4.78	NA	NA	0.74	2.2	-8.4
2732	20210212	NA	NA	-19.7	-9.6	2.4	2.1	-14.1	-13.8	-11.9	-11.2	-9.6	87.68	87.7	89.31	90.13	91.69	0.25	NA	NA	0.19	NA	NA	NA	NA	6066.6	NA	NA	3631.34	3.63	NA	NA	0.12	NA	-15.6
2745	20210212	NA	NA	-30.2	-12.9	0.21	1.55	-19.2	-17	-14.1	-14.1	-12.9	82.68	84.48	86.95	87.68	88.49	0.24	58	NA	0.148	NA	NA	1.2	NA	3589.34	NA	NA	2580.6	2.58	NA	NA	0.09	NA	-24.2
60677	20210212	NA	NA	6	25.1	1.83	1.87	6.9	15.7	23.1	24.6	19.6	18.98	11.67	7.74	6.2	7.66	17.5	NA	NA	1.218	NA	NA	0	NA	27756.81	NA	NA	21388.99	21.39	NA	NA	3.13	NA	6
3016003	20210212	NA	NA	-24	-18.6	4.36	0.87	-20.9	-19.6	-19	-18.8	-18.9	82.52	81.98	77.87	74.55	65.3	0.39	NA	NA	0.109	NA	NA	NA	NA	15654.79	NA	NA	9389.38	9.39	NA	NA	0.21	NA	-22
