Station	DayTime	TT	TD	TX1	TN1	TX6	TN6	TX12	TN12	PREC	PR24	PR06	RR	TR	SNOW	DIR	FF	N	L	RD	RD24	AP	QFF	SH	SH24	VIS	RH	D_E	D_RH	D_VPD	D_SLOPE	SOIL
1084	2021021300	-20.3	-22.1	NA	NA	NA	NA	NA	NA	0	0	NA	0	6	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.03	85.49	0.17	0.105	NA
1084	2021021301	-19.8	-21.5	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	180	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.09	86.35	0.17	0.109	NA
1084	2021021302	-19.2	-21	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14	85.62	0.19	0.114	NA
1084	2021021303	-18.9	-20.6	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	280	0.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.18	86.43	0.18	0.117	NA
1084	2021021304	-18.6	-20.4	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	240	0.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2	85.7	0.2	0.12	NA
1084	2021021305	-18.3	-20.1	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.23	85.78	0.2	0.123	NA
1084	2021021306	-18	-19.8	NA	NA	NA	NA	-18	-25	0	0	NA	0	6	NA	270	0.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.26	85.74	0.21	0.125	NA
1288	2021021300	-25.7	-28.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	2.31	NA	NA	NA	NA	1047.5	1047.5	NA	NA	NA	NA	0.57	77.33	0.17	0.068	NA
1288	2021021301	-23.8	-26.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	310	0.87	NA	NA	NA	NA	1046.1	1046.1	NA	NA	NA	NA	0.68	76.98	0.2	0.079	NA
1288	2021021302	-22.8	-25.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	360	0.87	NA	NA	NA	NA	1045.6	1045.6	NA	NA	NA	NA	0.77	79.3	0.2	0.086	NA
