"Station"	"Season"	"MT5"	"MT95"	"MTX5"	"MTX95"	"MTN5"	"MTN95"	"RRR5Y"	"FF5Y"
50136	"winter"	0	12.55	0.1	17.7	0	11.64	104.52	7.27
50136	"spring"	0.05	17.96	0.1	21.24	0.1	17.74	172.23	9.23
50136	"summer"	0	7.45	0	10.8	0	12.2	98.73	6.96
50136	"autumn"	0.05	23.11	0.1	21.86	0	20.35	42.01	7.12
50353	"winter"	0.05	10.72	0	15.03	0	11.7	14.13	11.85
50353	"spring"	0.05	20.08	0.1	20.44	0	19.87	66.3	13.47
50353	"summer"	0	7.25	0	8.4	0	10.69	103.41	8.39
50353	"autumn"	0.05	22.69	0	18.9	0.1	23.61	36.27	9.56
50434	"winter"	0.05	12.62	0.1	17.8	0	16.71	7.74	6.02
50434	"spring"	0.05	19.45	0.1	22.2	0	21.85	30.14	10.37
50434	"summer"	0.05	7.5	0	11.8	0	11.59	145.93	5.51
50434	"autumn"	0.05	22.59	0.06	21.31	0	24.87	40	6.67
50468	"winter"	0.05	9.51	0	11.73	0	11.03	39.61	9.13
50468	"spring"	0.05	16.76	0.1	17.7	0.1	17.19	53.17	14.09
50468	"summer"	0.05	7.04	0	8.6	0	10.59	128.96	7.07
50468	"autumn"	0.05	20.62	0	17.95	0	21.53	198.77	8.22
50527	"winter"	0.05	11.67	0	12.73	0	13.43	12.22	10.93
50527	"spring"	0.05	19.76	0	19.72	0.1	24.99	26.4	14.04
50527	"summer"	0	7.34	0	8.69	0	10.59	130.44	10.3
50527	"autumn"	0.05	20.69	0	19.43	0	20.9	129.8	10.78
50557	"winter"	0.05	9.67	0	14.13	0	10.66	35.35	8.43
50557	"spring"	0.05	16.78	0	19	0	16.62	26.67	13.98
50557	"summer"	0.05	6.59	0	9.39	0	9.99	140.73	10.61
50557	"autumn"	0.05	21.34	0	18.9	0	21.31	112.22	10.98
50564	"winter"	0.05	9.85	0	13.6	0	11.04	49.88	7.16
50564	"spring"	0.05	15.84	0.1	18.12	0.1	17.6	36.6	12.28
50564	"summer"	0.05	6.9	0	9.4	0	10.19	165.5	8.76
50564	"autumn"	0.05	22.41	0	19.85	0	23.62	64.04	8.78
50603	"winter"	0.05	10.27	0.1	11.23	0	13.23	16.84	11.9
50603	"spring"	0.05	18.39	0	16.7	0.1	20.73	78.95	14.35
50603	"summer"	0	7.8	0	8.59	0	11.89	139.29	12.59
50603	"autumn"	0.05	19.58	0	19.01	0.1	20.27	57.49	11.54
50632	"winter"	0.05	11.02	0	10.5	0.1	16.88	7.68	9.92
50632	"spring"	0	14.51	0.1	15.85	0.1	22.04	185.97	12.22
50632	"summer"	0	7.04	0	9.59	0	11.69	137.43	8.18
50632	"autumn"	0.05	18.47	0	15.78	0	19.86	92.58	9.69
50658	"winter"	0.05	9.92	0	12.2	0	10.67	12.31	8.77
50658	"spring"	0.05	16.94	0	18.97	0	18.45	78.02	10.57
50658	"summer"	0.05	6.8	0	7.6	0	9.21	163.99	8.29
50658	"autumn"	0.05	23.42	0.05	23.15	0	19.9	96.47	12.02
50727	"winter"	0.05	14.14	0	16.1	0.02	20.48	8.31	9.99
50727	"spring"	0.05	21.9	0.1	19.19	0.1	25.31	109.38	11.33
50727	"summer"	0.05	8.13	0	11.33	0	12.07	164.23	7.55
50727	"autumn"	0.05	22.38	0.1	18.19	0.05	26.75	61.05	10.73
50745	"winter"	0.05	9.64	0	11.4	0	10.8	55.02	7.81
50745	"spring"	0.05	18.52	0.06	18.9	0.1	19.44	159.52	11.78
50745	"summer"	0.05	7.45	0	7.6	0.1	9.5	191.26	8.44
50745	"autumn"	0.05	18.28	0.1	21.64	0	16.64	127.84	9.31
50756	"winter"	0.05	11.18	0	12.96	0	12.56	9.44	6.95
50756	"spring"	0.05	15.95	0.08	16.86	0.1	17.03	39.79	11.46
50756	"summer"	0	6.35	0	7.6	0	8.9	117.32	9.19
50756	"autumn"	0.05	23.4	0.05	22.67	0	21.29	143.93	13.59
50774	"winter"	0.05	12.23	0.1	17.7	0	11.91	15.84	7.22
50774	"spring"	0.05	15.26	0.1	18.03	0	18.24	58.86	12.11
50774	"summer"	0	6.65	0	9	0	9.9	163.06	9.99
50774	"autumn"	0.05	25.46	0.1	24.49	0	22.34	160.47	7.13
50788	"winter"	0.05	10.6	0.1	12.4	0	11.1	26.12	12.97
50788	"spring"	0.05	16.04	0	16.91	0	18.61	98.02	10.12
50788	"summer"	0	6.36	0	6.4	0	9.2	171.48	9.51
