"Station"	"Season"	"MT5"	"MT95"	"MTX5"	"MTX95"	"MTN5"	"MTN95"	"RRR5Y"	"FF5Y"
1	"winter"	0.05	9.03	0	10.9	0	9.41	35.99	9.84
1	"spring"	0	9.09	0	9.38	0	12.62	35.55	9.05
1	"summer"	0.05	6.55	0	6.71	0	9.49	64.31	7.26
1	"autumn"	0	8.22	0	8.5	0	12.27	41.12	9.53
2	"winter"	0.05	8.6	0	10.7	0	9.19	38.59	10.83
2	"spring"	0.05	7.71	0	10.14	0	10.41	133.92	12
2	"summer"	0	5.99	0	6.3	0	9.9	87.51	11.36
2	"autumn"	0	7.95	0	9.19	0	10.7	243.21	9.82
7	"winter"	0.05	7.35	0.1	9.5	0	7.91	78.89	NA
7	"spring"	0.05	6.73	0	8.86	0	10.04	85.96	NA
7	"summer"	0.05	5.91	0	7.9	0	9.7	64.42	NA
7	"autumn"	0.05	6.82	0	9.03	0	10.02	52.11	NA
9	"winter"	0.04	8.96	0	11.67	0	9.08	101.89	8.32
9	"spring"	0.05	7.97	0	9.8	0	11.1	408.93	8.18
9	"summer"	0.05	5.9	0	7.6	0	9.35	78.09	5.21
9	"autumn"	0.05	8.38	0	9.6	0	11.21	318.81	8.08
509	"winter"	0	7.07	0	8.4	0	8.57	81.84	16.13
509	"spring"	0	6.91	0	8.02	0	8.4	574.62	15.69
509	"summer"	0	4.76	0	6.81	0	5.8	167.87	12.03
509	"autumn"	0	8.5	0	9.28	0	9.88	926.9	18.91
1001	"winter"	0.05	8.79	0	11.48	0	11.02	142.29	25.94
1001	"spring"	0	7.3	0	8.99	0	8.99	120.03	22.83
1001	"summer"	0	4.25	0	4.16	0	5.9	66.07	22.21
1001	"autumn"	0	6.65	0	8.46	0	8	65.18	23.71
1010	"winter"	0.05	6.9	0	8.9	0	7.34	58.87	17.94
1010	"spring"	0	6.55	0	8.4	0	7.82	148.02	19.54
1010	"summer"	0	5.54	0	5.8	0	8.68	66.09	15.67
1010	"autumn"	0.05	6.18	0	7.73	0	6.98	139.1	22.52
1015	"winter"	0.05	6.95	0	7.88	0	8.9	NA	21.44
1015	"spring"	0	6.85	0	6.41	0	9.29	NA	25.14
1015	"summer"	0.03	5.92	0	5.58	0	8.3	269.42	16.35
1015	"autumn"	0.05	5.92	0	6.51	0	7.9	NA	24.61
1023	"winter"	0.05	14.25	0	18.4	0.1	17.07	63.84	12.38
1023	"spring"	0.05	10.48	0	14.6	0	10.67	68.35	9.51
1023	"summer"	0	6.59	0	8.2	0	9.7	86.91	8.25
1023	"autumn"	0.05	11.72	0	14.82	0	14.6	64.97	13.56
1025	"winter"	0.05	7.77	0	10	0	7.9	54.24	15.75
1025	"spring"	0.05	6.94	0	9	0	8.48	75.73	15.39
1025	"summer"	0	5.65	0	5.6	0	8.5	82.73	15.66
1025	"autumn"	0	7.22	0	9	0	8.2	77.4	13.36
1026	"winter"	0.05	6.89	0	8.58	0	8.01	56.89	13.3
1026	"spring"	0.05	7.15	0	7.58	0	9.58	54.14	13.49
1026	"summer"	0	6.1	0	6.3	0	9.29	74.88	9.57
1026	"autumn"	0.05	6.9	0	8.24	0	8.03	53.52	10.96
1033	"winter"	0	5.88	0	6.8	0	7	46.03	21.22
1033	"spring"	0	5.73	0	6.11	0	7.84	53.21	19.99
1033	"summer"	0	5.9	0	5.8	0	8.74	97.78	16.34
1033	"autumn"	0	6.26	0	6.8	0	7.1	62.71	24
1037	"winter"	0.05	11.17	0.1	14.43	0	13.53	25.91	14.71
1037	"spring"	0.05	8.94	0	12	0	11.08	56.28	7.84
1037	"summer"	0.05	6.98	0	10.69	0	11.1	43.06	6.18
1037	"autumn"	0.05	9.98	0.1	11.6	0	11.1	92.42	8.72
